agency,country,year,mission_type,status,cost_million,duration_days,crew_size,decade,is_success
NASA,USA,1958,Satellite,Success,15.0,362,0,1950s,1
NASA,USA,1958,Satellite,Failure,875.9,321,0,1950s,0
NASA,USA,1958,Satellite,Success,90.7,133,0,1950s,1
NASA,USA,1959,Satellite,Success,114.1,109,0,1950s,1
NASA,USA,1960,Probe,Success,11.9,168,0,1960s,1
NASA,USA,1961,Flyby,Partial Success,413.1,65,0,1960s,0
NASA,USA,1962,Satellite,Success,600.1,53,0,1960s,1
NASA,USA,1962,Probe,Success,197.8,36,6,1960s,1
NASA,USA,1963,Satellite,Success,98.4,88,0,1960s,1
NASA,USA,1963,Crewed,Failure,82.5,140,0,1960s,0
NASA,USA,1963,Satellite,Failure,1083.5,266,0,1960s,0
NASA,USA,1963,Rover,Success,306.8,235,0,1960s,1
NASA,USA,1963,Crewed,Success,30.8,357,0,1960s,1
NASA,USA,1964,Satellite,Success,327.0,182,2,1960s,1
NASA,USA,1965,Probe,Failure,368.5,122,0,1960s,0
NASA,USA,1965,Satellite,Success,28.5,5,0,1960s,1
NASA,USA,1966,Lander,Success,65.0,14,0,1960s,1
NASA,USA,1966,Flyby,Success,412.7,180,2,1960s,1
NASA,USA,1966,Satellite,Failure,557.7,139,2,1960s,0
NASA,USA,1967,Crewed,Success,426.0,354,0,1960s,1
NASA,USA,1967,Crewed,Success,62.8,22,0,1960s,1
NASA,USA,1968,Flyby,Partial Success,72.5,123,0,1960s,0
NASA,USA,1968,Satellite,Success,235.1,125,0,1960s,1
NASA,USA,1968,Space Station,Success,68.5,28,0,1960s,1
NASA,USA,1968,Satellite,Partial Success,278.8,258,0,1960s,0
NASA,USA,1969,Satellite,Failure,51.6,7,0,1960s,0
NASA,USA,1969,Satellite,Failure,179.4,46,0,1960s,0
NASA,USA,1969,Lander,Success,122.2,496,0,1960s,1
NASA,USA,1969,Satellite,Success,646.5,377,0,1960s,1
NASA,USA,1969,Rover,Failure,202.5,135,0,1960s,0
NASA,USA,1970,Satellite,Success,323.6,409,2,1970s,1
NASA,USA,1970,Telescope,Failure,22.0,31,2,1970s,0
NASA,USA,1970,Satellite,Failure,26.7,196,0,1970s,0
NASA,USA,1971,Lander,Success,67.7,70,0,1970s,1
NASA,USA,1971,Rover,Failure,268.0,151,0,1970s,0
NASA,USA,1971,Satellite,Success,69.9,650,0,1970s,1
NASA,USA,1972,Satellite,Failure,6.2,186,0,1970s,0
NASA,USA,1972,Flyby,Partial Success,615.9,83,0,1970s,0
NASA,USA,1972,Crewed,Partial Success,850.2,596,2,1970s,0
NASA,USA,1972,Crewed,Success,476.2,68,0,1970s,1
NASA,USA,1972,Flyby,Success,297.7,151,0,1970s,1
NASA,USA,1972,Flyby,Failure,37.7,131,2,1970s,0
NASA,USA,1973,Rover,Failure,504.5,440,0,1970s,0
NASA,USA,1973,Rover,Success,262.4,217,0,1970s,1
NASA,USA,1973,Satellite,Partial Success,117.7,17,0,1970s,0
NASA,USA,1973,Probe,Success,195.6,60,0,1970s,1
NASA,USA,1974,Rover,Success,111.6,24,0,1970s,1
NASA,USA,1975,Probe,Success,194.5,182,0,1970s,1
NASA,USA,1975,Probe,Partial Success,97.5,285,0,1970s,0
NASA,USA,1975,Satellite,Success,6.4,591,2,1970s,1
NASA,USA,1976,Satellite,Success,199.2,225,0,1970s,1
NASA,USA,1976,Flyby,Success,334.8,145,0,1970s,1
NASA,USA,1977,Satellite,Failure,30.8,8,0,1970s,0
NASA,USA,1977,Lander,Failure,160.7,18,0,1970s,0
NASA,USA,1978,Telescope,Success,252.0,8,0,1970s,1
NASA,USA,1978,Probe,Failure,485.3,193,0,1970s,0
NASA,USA,1979,Probe,Success,704.3,154,0,1970s,1
NASA,USA,1980,Satellite,Success,5.0,17,0,1980s,1
NASA,USA,1980,Satellite,Success,465.9,4,2,1980s,1
NASA,USA,1980,Satellite,Success,298.3,178,2,1980s,1
NASA,USA,1980,Rover,Success,82.8,35,0,1980s,1
NASA,USA,1980,Flyby,Failure,133.0,83,0,1980s,0
NASA,USA,1980,Flyby,Success,488.7,100,0,1980s,1
NASA,USA,1980,Satellite,Failure,582.1,126,2,1980s,0
NASA,USA,1981,Satellite,Failure,96.2,539,6,1980s,0
NASA,USA,1981,Telescope,Success,148.8,62,0,1980s,1
NASA,USA,1981,Lander,Success,392.0,280,0,1980s,1
NASA,USA,1982,Crewed,Success,546.7,77,0,1980s,1
NASA,USA,1983,Lander,Success,18.9,310,0,1980s,1
NASA,USA,1983,Satellite,Success,1078.9,84,0,1980s,1
NASA,USA,1983,Flyby,Failure,1067.2,251,0,1980s,0
NASA,USA,1984,Space Station,Success,29.5,122,0,1980s,1
NASA,USA,1984,Satellite,Success,31.6,22,0,1980s,1
NASA,USA,1985,Satellite,Failure,825.7,2,6,1980s,0
NASA,USA,1985,Space Station,Success,187.5,892,0,1980s,1
NASA,USA,1985,Flyby,Success,185.1,178,0,1980s,1
NASA,USA,1985,Telescope,Success,219.5,416,0,1980s,1
NASA,USA,1986,Probe,Success,109.0,157,0,1980s,1
NASA,USA,1986,Flyby,Partial Success,299.5,138,0,1980s,0
NASA,USA,1986,Lander,Failure,44.4,435,2,1980s,0
NASA,USA,1986,Lander,Partial Success,237.6,97,4,1980s,0
NASA,USA,1986,Satellite,Failure,6.7,85,2,1980s,0
NASA,USA,1987,Rover,Partial Success,455.5,113,0,1980s,0
NASA,USA,1987,Satellite,Success,500.1,301,7,1980s,1
NASA,USA,1987,Probe,Partial Success,366.3,521,2,1980s,0
NASA,USA,1988,Telescope,Partial Success,64.9,200,0,1980s,0
NASA,USA,1988,Satellite,Success,278.4,132,0,1980s,1
NASA,USA,1989,Satellite,Success,351.8,174,0,1980s,1
NASA,USA,1989,Satellite,Success,5.0,77,0,1980s,1
NASA,USA,1989,Crewed,Success,586.3,77,0,1980s,1
NASA,USA,1989,Crewed,Failure,243.3,356,4,1980s,0
NASA,USA,1989,Flyby,Success,169.4,53,0,1980s,1
NASA,USA,1990,Satellite,Success,34.3,29,0,1990s,1
NASA,USA,1990,Satellite,Success,106.0,408,0,1990s,1
NASA,USA,1990,Satellite,Success,53.4,7,0,1990s,1
NASA,USA,1990,Satellite,Success,23.2,23,0,1990s,1
NASA,USA,1991,Satellite,Success,401.6,177,0,1990s,1
NASA,USA,1991,Flyby,Failure,15.8,58,2,1990s,0
NASA,USA,1992,Probe,Success,240.8,82,0,1990s,1
NASA,USA,1992,Satellite,Success,72.7,224,2,1990s,1
NASA,USA,1993,Probe,Success,69.4,56,0,1990s,1
NASA,USA,1993,Satellite,Success,59.4,71,0,1990s,1
NASA,USA,1994,Probe,Success,342.1,101,0,1990s,1
NASA,USA,1994,Crewed,Success,259.6,152,0,1990s,1
NASA,USA,1994,Telescope,Partial Success,67.7,19,0,1990s,0
NASA,USA,1994,Satellite,Success,51.6,60,0,1990s,1
NASA,USA,1994,Satellite,Failure,185.9,95,7,1990s,0
NASA,USA,1995,Space Station,Partial Success,424.7,53,0,1990s,0
